algo,seed,match_id,bot0,city_tiles0,units0,bot1,city_tiles1,units1,winner
EXP3PP,1,100000,meta_bot,0,0,working_title,27,34,working_title
EXP3PP,1,100001,meta_bot,0,0,imitation_tb,1,8,imitation_tb
EXP3PP,1,100002,meta_bot,12,8,imitation_dr,0,0,meta_bot
EXP3PP,1,100003,meta_bot,3,3,imitation_rl,3,4,imitation_rl
EXP3PP,1,100004,working_title,0,0,imitation_tb,18,13,imitation_tb
EXP3PP,1,100005,working_title,0,0,imitation_dr,34,34,imitation_dr
EXP3PP,1,100006,working_title,1,3,imitation_rl,0,4,working_title
EXP3PP,1,100007,imitation_tb,27,26,imitation_dr,0,0,imitation_tb
EXP3PP,1,100008,imitation_tb,14,14,imitation_rl,0,1,imitation_tb
EXP3PP,1,100009,imitation_dr,29,29,imitation_rl,0,2,imitation_dr
EXP3PP,2,100010,meta_bot,16,16,working_title,0,2,meta_bot
EXP3PP,2,100011,meta_bot,2,4,imitation_tb,25,25,imitation_tb
EXP3PP,2,100012,meta_bot,5,8,imitation_dr,8,12,imitation_dr
EXP3PP,2,100013,meta_bot,0,1,imitation_rl,19,19,imitation_rl
EXP3PP,2,100014,working_title,0,1,imitation_tb,35,35,imitation_tb
EXP3PP,2,100015,working_title,0,0,imitation_dr,11,15,imitation_dr
EXP3PP,2,100016,working_title,3,5,imitation_rl,12,14,imitation_rl
EXP3PP,2,100017,imitation_tb,11,12,imitation_dr,1,1,imitation_tb
EXP3PP,2,100018,imitation_tb,15,15,imitation_rl,0,1,imitation_tb
EXP3PP,2,100019,imitation_dr,11,12,imitation_rl,1,4,imitation_dr
EXP3PP,3,100020,meta_bot,7,7,working_title,2,0,meta_bot
EXP3PP,3,100021,meta_bot,6,9,imitation_tb,3,3,meta_bot
EXP3PP,3,100022,meta_bot,5,7,imitation_dr,1,3,meta_bot
EXP3PP,3,100023,meta_bot,4,5,imitation_rl,4,4,meta_bot
EXP3PP,3,100024,working_title,4,10,imitation_tb,0,1,working_title
EXP3PP,3,100025,working_title,10,6,imitation_dr,0,3,working_title
EXP3PP,3,100026,working_title,2,5,imitation_rl,5,7,imitation_rl
EXP3PP,3,100027,imitation_tb,4,4,imitation_dr,10,12,imitation_dr
EXP3PP,3,100028,imitation_tb,0,2,imitation_rl,8,11,imitation_rl
EXP3PP,3,100029,imitation_dr,5,5,imitation_rl,5,5,tie
EXP3PP,48029789,100030,meta_bot,6,9,working_title,0,0,meta_bot
EXP3PP,48029789,100031,meta_bot,3,4,imitation_tb,4,11,imitation_tb
EXP3PP,48029789,100032,meta_bot,4,4,imitation_dr,3,7,meta_bot
EXP3PP,48029789,100033,meta_bot,1,1,imitation_rl,2,2,imitation_rl
EXP3PP,48029789,100034,working_title,0,0,imitation_tb,4,5,imitation_tb
EXP3PP,48029789,100035,working_title,0,0,imitation_dr,5,7,imitation_dr
EXP3PP,48029789,100036,working_title,0,0,imitation_rl,11,13,imitation_rl
EXP3PP,48029789,100037,imitation_tb,27,27,imitation_dr,3,3,imitation_tb
EXP3PP,48029789,100038,imitation_tb,8,12,imitation_rl,1,1,imitation_tb
EXP3PP,48029789,100039,imitation_dr,4,5,imitation_rl,0,0,imitation_dr
EXP3PP,414239258,100040,meta_bot,26,26,working_title,20,29,meta_bot
EXP3PP,414239258,100041,meta_bot,18,24,imitation_tb,54,54,imitation_tb
EXP3PP,414239258,100042,meta_bot,35,37,imitation_dr,13,14,meta_bot
EXP3PP,414239258,100043,meta_bot,29,38,imitation_rl,17,17,meta_bot
EXP3PP,414239258,100044,working_title,36,31,imitation_tb,18,22,working_title
EXP3PP,414239258,100045,working_title,9,13,imitation_dr,51,57,imitation_dr
EXP3PP,414239258,100046,working_title,48,50,imitation_rl,16,16,working_title
EXP3PP,414239258,100047,imitation_tb,64,76,imitation_dr,5,6,imitation_tb
EXP3PP,414239258,100048,imitation_tb,25,25,imitation_rl,13,20,imitation_tb
EXP3PP,414239258,100049,imitation_dr,54,59,imitation_rl,9,10,imitation_dr
EXP3PP,297500502,100050,meta_bot,8,8,working_title,2,1,meta_bot
EXP3PP,297500502,100051,meta_bot,4,4,imitation_tb,11,11,imitation_tb
EXP3PP,297500502,100052,meta_bot,8,8,imitation_dr,3,3,meta_bot
EXP3PP,297500502,100053,meta_bot,14,17,imitation_rl,0,1,meta_bot
EXP3PP,297500502,100054,working_title,0,0,imitation_tb,20,20,imitation_tb
EXP3PP,297500502,100055,working_title,5,8,imitation_dr,4,4,working_title
EXP3PP,297500502,100056,working_title,18,17,imitation_rl,0,0,working_title
EXP3PP,297500502,100057,imitation_tb,13,13,imitation_dr,1,2,imitation_tb
EXP3PP,297500502,100058,imitation_tb,14,14,imitation_rl,1,1,imitation_tb
EXP3PP,297500502,100059,imitation_dr,34,34,imitation_rl,0,1,imitation_dr
EXP3PP,958260557,100060,meta_bot,1,1,working_title,0,2,meta_bot
EXP3PP,958260557,100061,meta_bot,0,0,imitation_tb,13,12,imitation_tb
EXP3PP,958260557,100062,meta_bot,5,6,imitation_dr,0,0,meta_bot
EXP3PP,958260557,100063,meta_bot,7,7,imitation_rl,0,1,meta_bot
EXP3PP,958260557,100064,working_title,1,1,imitation_tb,1,3,imitation_tb
EXP3PP,958260557,100065,working_title,1,1,imitation_dr,5,5,imitation_dr
EXP3PP,958260557,100066,working_title,5,5,imitation_rl,0,0,working_title
EXP3PP,958260557,100067,imitation_tb,14,14,imitation_dr,0,0,imitation_tb
EXP3PP,958260557,100068,imitation_tb,2,2,imitation_rl,2,2,tie
EXP3PP,958260557,100069,imitation_dr,13,13,imitation_rl,0,0,imitation_dr
EXP3PP,985639573,100070,meta_bot,2,1,working_title,0,3,meta_bot
EXP3PP,985639573,100071,meta_bot,2,2,imitation_tb,2,3,imitation_tb
EXP3PP,985639573,100072,meta_bot,0,0,imitation_dr,16,16,imitation_dr
EXP3PP,985639573,100073,meta_bot,2,4,imitation_rl,2,2,meta_bot
EXP3PP,985639573,100074,working_title,0,0,imitation_tb,4,7,imitation_tb
EXP3PP,985639573,100075,working_title,0,3,imitation_dr,2,2,imitation_dr
EXP3PP,985639573,100076,working_title,0,0,imitation_rl,5,6,imitation_rl
EXP3PP,985639573,100077,imitation_tb,0,0,imitation_dr,5,14,imitation_dr
EXP3PP,985639573,100078,imitation_tb,3,4,imitation_rl,3,3,imitation_tb
EXP3PP,985639573,100079,imitation_dr,1,3,imitation_rl,3,3,imitation_rl
EXP3PP,551628932,100080,meta_bot,44,45,working_title,14,19,meta_bot
EXP3PP,551628932,100081,meta_bot,20,24,imitation_tb,52,56,imitation_tb
EXP3PP,551628932,100082,meta_bot,36,37,imitation_dr,23,26,meta_bot
EXP3PP,551628932,100083,meta_bot,30,36,imitation_rl,28,33,meta_bot
EXP3PP,551628932,100084,working_title,21,26,imitation_tb,67,67,imitation_tb
EXP3PP,551628932,100085,working_title,41,38,imitation_dr,30,31,working_title
EXP3PP,551628932,100086,working_title,33,31,imitation_rl,29,29,working_title
